DMA,GEOID,city,lat,lon
FLINT (MI) - SAGINAW (MI) - BAY CITY (MI),26011,"flint, mi",43.0125274,-83.6874562
FLORENCE (SC) - MYRTLE BEACH (SC),37155,"florence, sc",34.1954331,-79.7625625
FRESNO (CA) - VISALIA (CA),06019,"fresno, ca",36.7377981,-119.7871247
FT. MYERS (FL) - NAPLES (FL),12015,"ft. myers, fl",26.640628,-81.8723084
FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR),05007,"ft. smith, ar",35.3859242,-94.39854749999999
FT. WAYNE (IN),18001,"ft. wayne, in",41.079273,-85.1393513
GAINESVILLE (FL),12001,"gainesville, fl",29.6516344,-82.32482619999999
GLENDIVE (MT),30021,"glendive, mt",47.106401,-104.7107931
GRAND JUNCTION (CO) - MONTROSE (CO),08029,"grand junction, co",39.0638705,-108.5506486
GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI),26005,"grand rapids, mi",42.9633599,-85.6680863
GREAT FALLS (MT),30005,"great falls, mt",47.5052849,-111.3007715
GREEN BAY (WI) - APPLETON (WI),26109,"green bay, wi",44.5133188,-88.0132958
GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37001,"greensboro, nc",36.0726354,-79.7919754
GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC),37013,"greenville, nc",35.612661,-77.3663538
GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC),13105,"greenville, sc",34.85261759999999,-82.3940104
GREENWOOD (MS) - GREENVILLE (MS),05017,"greenwood, ms",33.5162315,-90.1795281
HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX),48061,"harlingen, tx",26.1906306,-97.69610259999999
HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA),42001,"harrisburg, pa",40.2731911,-76.8867008
HARRISONBURG,51660,harrisonburg,38.4495688,-78.8689155
HARRISONBURG (VA),51015,"harrisonburg, va",38.4495688,-78.8689155
HARTFORD (CT) - NEW HAVEN (CT),09003,"hartford, ct",41.7658043,-72.6733723
HATTIESBURG (MS) - LAUREL (MS),28031,"hattiesburg, ms",31.3271189,-89.29033919999999
HELENA (MT),30007,"helena, mt",46.5891452,-112.0391057
HONOLULU (HI),15001,"honolulu, hi",21.3069444,-157.8583333
HOUSTON (TX),48015,"houston, tx",29.7604267,-95.3698028
HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL),01033,"huntsville, al",34.7303688,-86.5861037
IDAHO FALLS (ID) - POCATELLO (ID),16005,"idaho falls, id",43.49266069999999,-112.0407584
INDIANAPOLIS (IN),18005,"indianapolis, in",39.768403,-86.158068
JACKSON (MS),28001,"jackson, ms",32.2987573,-90.1848103
JACKSON (TN),47017,"jackson, tn",35.6145169,-88.81394689999999
JACKSONVILLE (FL),12003,"jacksonville, fl",30.3321838,-81.65565099999999
JOHNSTOWN (PA) - ALTOONA (PA),42009,"johnstown, pa",40.32674069999999,-78.9219698
JONESBORO (AR),05021,"jonesboro, ar",35.84229670000001,-90.704279
JOPLIN (MO) - PITTSBURG (KS),20001,"joplin, mo",37.08422710000001,-94.51328099999999
JUNEAU (AK),02110,"juneau, ak",58.301944399999996,-134.4197221
KANSAS CITY (MO),20003,"kansas city, mo",39.0997265,-94.5785667
KINGSPORT (TN) - JOHNSON CITY (TN) - BRISTOL (TN),21131,"kingsport, tn",36.548434,-82.5618186
KNOXVILLE (TN),21013,"knoxville, tn",35.9606384,-83.9207392
LA CROSSE (WI) - EAU CLAIRE (WI),27055,"la crosse, wi",43.8137751,-91.25190169999999
LAFAYETTE (IN),18007,"lafayette, in",40.4167022,-86.87528689999999
LAFAYETTE (LA),22001,"lafayette, la",30.2240897,-92.0198427
LAKE CHARLES (LA),22003,"lake charles, la",30.2265949,-93.2173758
LANSING (MI),26037,"lansing, mi",42.732535,-84.5555347
LAREDO (TX),48479,"laredo, tx",27.5035613,-99.5075519
LAS VEGAS (NV),32003,"las vegas, nv",36.1699412,-115.1398296
LEXINGTON (KY),21005,"lexington, ky",38.0405837,-84.5037164
LIMA (OH),39003,"lima, oh",40.742551,-84.1052256
LINCOLN (NE) - HASTINGS (NE) - KEARNEY (NE),20089,"lincoln, ne",40.813616,-96.7025955
LITTLE ROCK (AR) - PINE BLUFF (AR),05001,"little rock, ar",34.7464809,-92.28959479999999
LOS ANGELES (CA),06027,"los angeles, ca",34.0522342,-118.2436849
LOUISVILLE (KY),18019,"louisville, ky",38.2526647,-85.7584557
LUBBOCK (TX),48017,"lubbock, tx",33.5778631,-101.8551665
MACON (GA),13009,"macon, ga",32.8406946,-83.6324022
MADISON (WI),55021,"madison, wi",43.0730517,-89.4012302
MANKATO (MN),27013,"mankato, mn",44.1635775,-93.99939959999999
MARQUETTE (MI),26003,"marquette, mi",46.5436199,-87.3953713
MEDFORD (OR) - KLAMATH FALLS (OR),06093,"medford, or",42.3265152,-122.8755949
MEMPHIS (TN),05035,"memphis, tn",35.1495343,-90.0489801
MERIDIAN (MS),01023,"meridian, ms",32.3643098,-88.703656
MIAMI (FL) - FT. LAUDERDALE (FL),12011,"miami, fl",25.7616798,-80.1917902
MILWAUKEE (WI),55027,"milwaukee, wi",43.0389025,-87.9064736
MINNEAPOLIS (MN) - ST. PAUL (MN),27001,"minneapolis, mn",44.977753,-93.2650108
MINOT (ND) - BISMARCK (ND) - DICKINSON (ND),30019,"minot, nd",48.2329668,-101.2922906
MISSOULA (MT),30029,"missoula, mt",46.8721284,-113.9940314
MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL),01003,"mobile, al",30.6953657,-88.0398912
MONROE (LA) - EL DORADO (AR),05003,"monroe, la",32.5093109,-92.1193012
MONTEREY (CA) - SALINAS (CA),06053,"monterey, ca",36.6002378,-121.8946761
MONTGOMERY (AL) - SELMA (AL),01001,"montgomery, al",32.3792233,-86.3077368
NASHVILLE (TN),21003,"nashville, tn",36.1626638,-86.7816016
NEW ORLEANS (LA),22051,"new orleans, la",29.95106579999999,-90.0715323
NEW YORK (NY),09001,"new york, ny",40.7127753,-74.0059728
NORFOLK (VA) - PORTSMOUTH (VA) - NEWPORT NEWS (VA),37029,"norfolk, va",36.8507689,-76.28587259999999
NORFOLK-PORTSMTH-NEWPT NWS,51620,norfolk,36.8507689,-76.28587259999999
NORTH PLATTE (NE),31005,"north platte, ne",41.1402759,-100.7601454
ODESSA (TX) - MIDLAND (TX),48003,"odessa, tx",31.8456816,-102.3676431
OKLAHOMA CITY (OK),40003,"oklahoma city, ok",35.4675602,-97.5164276
OMAHA (NE),19029,"omaha, ne",41.2565369,-95.9345034
ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12009,"orlando, fl",28.5383355,-81.3792365
OTTUMWA (IA) - KIRKSVILLE (MO),19051,"ottumwa, ia",41.01602930000001,-92.40830220000001
PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS),17003,"paducah, ky",37.0833893,-88.6000478
PANAMA CITY (FL),12005,"panama city, fl",30.1588129,-85.6602058
PARKERSBURG (WV),39167,"parkersburg, wv",39.2667418,-81.56151349999999
PEORIA (IL) - BLOOMINGTON (IL),17057,"peoria, il",40.6936488,-89.5889864
PHILADELPHIA (PA),10001,"philadelphia, pa",39.9525839,-75.1652215
PHOENIX (AZ),04005,"phoenix, az",33.4483771,-112.0740373
PITTSBURGH (PA),24023,"pittsburgh, pa",40.44062479999999,-79.9958864
PORTLAND (ME) - AUBURN (ME),23001,"portland, me",43.6590993,-70.2568189
PORTLAND (OR),41001,"portland, or",45.5051064,-122.6750261
PRESQUE ISLE (ME),23003,"presque isle, me",46.68115299999999,-68.01586139999999
PROVIDENCE (RI) - NEW BEDFORD (MA),25005,"providence, ri",41.8239891,-71.4128343
QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA),17001,"quincy, il",39.9356016,-91.4098726
RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37037,"raleigh, nc",35.7795897,-78.6381787
RAPID CITY (SD),30011,"rapid city, sd",44.0805434,-103.2310149
RENO (NV),06003,"reno, nv",39.5296329,-119.8138027
RICHMOND (VA) - PETERSBURG (VA),51007,"richmond, va",37.5407246,-77.4360481
RICHMOND-PETERSBURG,51570,richmond,37.5407246,-77.4360481
ROANOKE (VA) - LYNCHBURG (VA),51005,"roanoke, va",37.2709704,-79.9414266
ROANOKE-LYNCHBURG,51515,roanoke,35.8897427,-75.66153840000001
ROCHESTER (MN) - MASON CITY (IA) - AUSTIN (MN),19033,"rochester, mn",44.0121221,-92.4801989
ROCHESTER (NY),36051,"rochester, ny",43.15657789999999,-77.6088465
ROCKFORD (IL),17007,"rockford, il",42.2711311,-89.0939952
SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA),06005,"sacramento, ca",38.5815719,-121.4943996
SALISBURY (MD),10005,"salisbury, md",38.3606736,-75.5993692
SALT LAKE CITY (UT),08033,"salt lake city, ut",40.7607793,-111.8910474
SAN ANGELO (TX),48081,"san angelo, tx",31.4637723,-100.4370375
SAN ANTONIO (TX),48013,"san antonio, tx",29.4241219,-98.49362819999999
SAN DIEGO (CA),06073,"san diego, ca",32.715738,-117.1610838
SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA),06001,"san francisco, ca",37.7749295,-122.4194155
SANTA BARBARA (CA) - SAN MARCOS (CA) - SAN LUIS OBISPO (CA),06079,"santa barbara, ca",34.4208305,-119.6981901
SAVANNAH (GA),13001,"savannah, ga",32.0808989,-81.091203
SEATTLE (WA) - TACOMA (WA),53007,"seattle, wa",47.6062095,-122.3320708
SHERMAN (TX) - ADA (OK),40005,"sherman, tx",33.6356618,-96.6088805
SHREVEPORT (LA),05027,"shreveport, la",32.5251516,-93.7501789
SIOUX CITY (IA),19021,"sioux city, ia",42.4963416,-96.40494079999999
SIOUX FALLS (SD) - MITCHELL (SD),19119,"sioux falls, sd",43.5473028,-96.728333
SOUTH BEND (IN) - ELKHART (IN),18039,"south bend, in",41.6763545,-86.25198979999999
SPOKANE (WA),16009,"spokane, wa",47.6587802,-117.4260465
SPRINGFIELD (MA) - HOLYOKE (MA),25011,"springfield, ma",42.1014831,-72.589811
SPRINGFIELD (MO),05005,"springfield, mo",37.2089572,-93.29229889999999
ST. JOSEPH (MO),20043,"st. joseph, mo",39.7674578,-94.84668099999999
ST. LOUIS (MO),17005,"st. louis, mo",38.6270025,-90.19940419999999
SYRACUSE (NY),36011,"syracuse, ny",43.0481221,-76.14742439999999
TALLAHASSEE (FL) - THOMASVILLE (GA),12039,"tallahassee, fl",30.4382559,-84.28073289999999
TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12017,"tampa, fl",27.950575,-82.4571776
TERRE HAUTE (IN),17023,"terre haute, in",39.4667034,-87.41390919999999
TOLEDO (OH),26091,"toledo, oh",41.6528052,-83.5378674
TOPEKA (KS),20013,"topeka, ks",39.0473451,-95.67515759999999
TRAVERSE CITY (MI) - CADILLAC (MI),26009,"traverse city, mi",44.7630567,-85.62063169999999
"TRI-CITIES, TN-VA",51520,tri,37.2477361,-95.7111092
TUCSON (AZ) - SIERRA VISTA (AZ),04003,"tucson, az",32.2226066,-110.9747108
TULSA (OK),20019,"tulsa, ok",36.1539816,-95.99277500000001
TWIN FALLS (ID),16013,"twin falls, id",42.5558381,-114.4700518
TYLER (TX) - LONGVIEW (TX) - LUFKIN (TX) - NACOGDOCHES (TX),48005,"tyler, tx",32.3512601,-95.30106239999999
UTICA (NY),36043,"utica, ny",43.100903,-75.232664
VICTORIA (TX),48469,"victoria, tx",28.8052674,-97.0035982
WACO (TX) - TEMPLE (TX) - BRYAN (TX),48027,"waco, tx",31.549333,-97.1466695
WASHINGTON (DC) - HAGERSTOWN (MD),11001,"washington, dc",38.9071923,-77.0368707
"WASHINGTON, DC(HAGRSTWN)",51510,"washington, dc(hagrstwn",39.6417629,-77.71999319999999
WATERTOWN (NY),36045,"watertown, ny",43.9747838,-75.91075649999999
WAUSAU (WI) - RHINELANDER (WI),55001,"wausau, wi",44.9591352,-89.6301221
WEST PALM BEACH (FL) - FT. PIERCE (FL),12061,"west palm beach, fl",26.7153424,-80.0533746
WHEELING (WV) - STEUBENVILLE (OH),39013,"wheeling, wv",40.0639616,-80.7209149
WICHITA (KS) - HUTCHINSON (KS),20007,"wichita, ks",37.68717609999999,-97.33005299999999
WICHITA FALLS (TX) - LAWTON (OK),40031,"wichita falls, tx",33.9137085,-98.4933873
WILKES BARRE (PA) - SCRANTON (PA),42015,"wilkes barre, pa",41.2459149,-75.88130749999999
WILMINGTON (NC),37017,"wilmington, nc",34.2103894,-77.8868117
YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA),41059,"yakima, wa",46.6020711,-120.5058987
YOUNGSTOWN (OH),39029,"youngstown, oh",41.0997803,-80.6495194
YUMA (AZ) - EL CENTRO (CA),04027,"yuma, az",32.6926512,-114.6276916
ZANESVILLE (OH),39119,"zanesville, oh",39.9403453,-82.0131924
