date,city,county,state,venue,candidate,rally,name,lat,lon,DMA,GEOID
2016-06-10,Richmond,Richmond,VA,Richmond Coliseum,trump,"Richmond Coliseum, Richmond, VA","601 E Leigh St, Richmond, VA 23219, USA",37.5446385,-77.4344395,RICHMOND (VA) - PETERSBURG (VA),51760
2016-06-11,Moon,NA,PA,"Atlantic Aviation PIT, Pittsburgh International Airport",trump,"Atlantic Aviation PIT, Pittsburgh International Airport, Moon, PA","Atlantic Aviation PIT, 300 Horizon Dr, Moon, PA 15108, USA",40.497149,-80.222248,PITTSBURGH (PA),42003
2016-06-11,Tampa,NA,FL,Tampa Convention Center,trump,"Tampa Convention Center, Tampa, FL","333 S Franklin St, Tampa, FL 33602, USA",27.9420214,-82.4556374,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12057
2016-06-14,Greensboro,NA,NC,Greensboro Coliseum CompleY,trump,"Greensboro Coliseum CompleY, Greensboro, NC","1921 W Gate City Blvd, Greensboro, NC 27403, USA",36.058682,-79.82613099999999,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37081
2016-06-15,Atlanta,NA,GA,Fox Theatre,trump,"Fox Theatre, Atlanta, GA","660 Peachtree St NE, Atlanta, GA 30308, USA",33.7724591,-84.38578100000001,ATLANTA (GA),13121
2016-06-16,Dallas,NA,TX,Gilley's Club,trump,"Gilley's Club, Dallas, TX","1135 S Lamar St, Dallas, TX 75215, USA",32.768777,-96.79798699999999,DALLAS (TX) - FT. WORTH (TX),48113
2016-06-17,The Woodlands,NA,TX,The Woodlands Waterway Marriott Hotel & Conference Center,trump,"The Woodlands Waterway Marriott Hotel & Conference Center, The Woodlands, TX","1601 Lake Robbins Dr, The Woodlands, TX 77380, USA",30.1607214,-95.4603992,HOUSTON (TX),48339
2016-06-18,Las Vegas,NA,NV,"Mystère Theatre, Treasure Island Hotel and Casino",trump,"Mystère Theatre, Treasure Island Hotel and Casino, Las Vegas, NV","3300 S Las Vegas Blvd, Las Vegas, NV 89109, USA",36.1247446,-115.1720809,LAS VEGAS (NV),32003
2016-06-18,Phoenix,NA,AZ,"Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds",trump,"Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds, Phoenix, AZ","1826 W McDowell Rd, Phoenix, AZ 85007, USA",33.469444,-112.096667,PHOENIX (AZ),04013
2016-06-28,St. Clairsville,NA,OH,"Health and Physical Education Center, Ohio University Eastern Campus",trump,"Health and Physical Education Center, Ohio University Eastern Campus, St. Clairsville, OH","45425 National Rd W, St Clairsville, OH 43950, USA",40.0735781,-80.9753648,WHEELING (WV) - STEUBENVILLE (OH),39013
2016-06-29,Bangor,NA,ME,Cross Insurance Center,trump,"Cross Insurance Center, Bangor, ME","515 Main St, Bangor, ME 04401, USA",44.788802,-68.77929,BANGOR (ME),23019
2016-07-05,Raleigh,NA,NC,"Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts",trump,"Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts, Raleigh, NC","2 E South St, Raleigh, NC 27601, USA",35.77121899999999,-78.6395764,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37183
2016-07-06,Cincinnati,NA,OH,Sharonville Convention Center,trump,"Sharonville Convention Center, Cincinnati, OH","11355 Chester Rd, Cincinnati, OH 45246, USA",39.279265,-84.44502399999999,CINCINNATI (OH),39061
2016-07-12,Westfield,NA,IN,"Grand Park Event Center, Grand Park",trump,"Grand Park Event Center, Grand Park, Westfield, IN","Grand Park Sports Campus, 19000 Grand Park Blvd, Westfield, IN 46074, USA",40.0633175,-86.14945329999999,INDIANAPOLIS (IN),18057
2016-07-23,NA,NA,NA,NA,trump,"NA, NA, NA",United States,37.09024,-95.712891,TULSA (OK),20125
2016-07-25,Winston-Salem,NA,NC,"Winston-Salem Fairground Annex, Dixie Classic Fairgrounds",trump,"Winston-Salem Fairground Annex, Dixie Classic Fairgrounds, Winston-Salem, NC","421 27th St NW, Winston-Salem, NC 27105, USA",36.1246175,-80.2549514,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37067
2016-07-27,Scranton,NA,PA,"Student Union Gymnasium, Lackawanna College",trump,"Student Union Gymnasium, Lackawanna College, Scranton, PA","500-520 Jefferson Ave, Scranton, PA 18510, USA",41.410001,-75.65696799999999,WILKES BARRE (PA) - SCRANTON (PA),42069
2016-07-27,Toledo,NA,OH,Huntington Center,trump,"Huntington Center, Toledo, OH","500 Jefferson Ave, Toledo, OH 43604, USA",41.6510854,-83.5366961,TOLEDO (OH),39095
2016-07-28,Cedar Rapids,NA,IA,DoubleTree Hotel Cedar Rapids Convention Complex,trump,"DoubleTree Hotel Cedar Rapids Convention Complex, Cedar Rapids, IA","350 1st Ave NE, Cedar Rapids, IA 52401, USA",41.9796056,-91.66817859999999,CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA),19113
2016-07-28,Davenport,NA,IA,Adler Theatre,trump,"Adler Theatre, Davenport, IA","136 E 3rd St, Davenport, IA 52801, USA",41.5228599,-90.5735108,DAVENPORT (IA) - ROCK ISLAND (IL) - MOLINE (IL),19163
2016-07-29,Colorado Springs,NA,CO,"Gallogly Event Center, University of Colorado Colorado Springs",trump,"Gallogly Event Center, University of Colorado Colorado Springs, Colorado Springs, CO","1420 Austin Bluffs Pkwy, Colorado Springs, CO 80918, USA",38.8927051,-104.7986498,COLORADO SPRINGS (CO) - PUEBLO (CO),08041
2016-07-29,Denver,NA,CO,Wings Over the Rockies Air and Space Museum,trump,"Wings Over the Rockies Air and Space Museum, Denver, CO","7711 E Academy Blvd, Denver, CO 80230, USA",39.7208907,-104.8955075,DENVER (CO),08031
2016-08-01,Columbus,NA,OH,Greater Columbus Convention Center,trump,"Greater Columbus Convention Center, Columbus, OH","400 N High St, Columbus, OH 43215, USA",39.9733835,-83.00202349999999,COLUMBUS (OH),39049
2016-08-01,Mechanicsburg,NA,PA,Cumberland Valley High School,trump,"Cumberland Valley High School, Mechanicsburg, PA","6746 Carlisle Pike, Mechanicsburg, PA 17050, USA",40.2438373,-77.0632834,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA),42041
2016-08-02,Ashburn,NA,VA,Briar Woods High School,trump,"Briar Woods High School, Ashburn, VA","22525 Belmont Ridge Rd, Ashburn, VA 20148, USA",38.9924911,-77.5309723,WASHINGTON (DC) - HAGERSTOWN (MD),51107
2016-08-03,Daytona Beach,NA,FL,Ocean Center,trump,"Ocean Center, Daytona Beach, FL","101 N Atlantic Ave, Daytona Beach, FL 32118, USA",29.22841,-81.01115399999999,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12127
2016-08-03,Jacksonville,NA,FL,Jacksonville Veterans Memorial Arena,trump,"Jacksonville Veterans Memorial Arena, Jacksonville, FL","300 A Philip Randolph Blvd, Jacksonville, FL 32202, USA",30.325811,-81.64505799999999,JACKSONVILLE (FL),12031
2016-08-04,Portland,NA,ME,Merrill Auditorium,trump,"Merrill Auditorium, Portland, ME","20 Myrtle St, Portland, ME 04101, USA",43.65957969999999,-70.2570794,PORTLAND (ME) - AUBURN (ME),23005
2016-08-05,Des Moines,NA,IA,Iowa Events Center,trump,"Iowa Events Center, Des Moines, IA","730 3rd St, Des Moines, IA 50309, USA",41.5915673,-93.6225055,DES MOINES (IA) - AMES (IA),19153
2016-08-05,Green Bay,NA,WI,KI Convention Center,trump,"KI Convention Center, Green Bay, WI","333 Main St, Green Bay, WI 54301, USA",44.5177884,-88.01183639999999,GREEN BAY (WI) - APPLETON (WI),55009
2016-08-06,Windham,NA,NH,Windham High School,trump,"Windham High School, Windham, NH","64 London Bridge Rd, Windham, NH 03087, USA",42.795007,-71.3225341,BOSTON (MA) - MANCHESTER (NH),33015
2016-08-09,Fayetteville,NA,NC,Crown Arena,trump,"Crown Arena, Fayetteville, NC","1960 Coliseum Dr, Fayetteville, NC 28306, USA",35.0149534,-78.89187400000002,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),37051
2016-08-09,Wilmington,NA,NC,"Trask Coliseum, University of North Carolina at Wilmington",trump,"Trask Coliseum, University of North Carolina at Wilmington, Wilmington, NC","680 Hamilton Dr, Wilmington, NC 28403, USA",34.2250178,-77.87833289999999,WILMINGTON (NC),37129
2016-08-10,Sunrise,NA,FL,BB&T Center,trump,"BB&T Center, Sunrise, FL","1205 E 85th St, Kansas City, MO 64131, USA",38.9727969,-94.5746176,KANSAS CITY (MO),29095
2016-08-11,Kissimmee,NA,FL,Silver Spurs Arena,trump,"Silver Spurs Arena, Kissimmee, FL","1875 Silver Spur Ln, Kissimmee, FL 34744, USA",28.2989399,-81.3689867,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12097
2016-08-12,Altoona,NA,PA,Blair County Convention Center,trump,"Blair County Convention Center, Altoona, PA","1 Convention Center Dr, Altoona, PA 16602, USA",40.4575532,-78.40105740000001,JOHNSTOWN (PA) - ALTOONA (PA),42013
2016-08-12,Erie,NA,PA,Erie Insurance Arena,trump,"Erie Insurance Arena, Erie, PA","809 French St, Erie, PA 16501, USA",42.1280011,-80.08088889999999,ERIE (PA),42049
2016-08-13,Fairfield,NA,CT,"William H. Pitt Center, Sacred Heart University",trump,"William H. Pitt Center, Sacred Heart University, Fairfield, CT","5151 Park Ave, Fairfield, CT 06825, USA",41.2195989,-73.2447482,NEW YORK (NY),09001
2016-08-16,West Bend,NA,WI,"Ziegler Family Expo Center, Washington County Fair Park & Conference Center",trump,"Ziegler Family Expo Center, Washington County Fair Park & Conference Center, West Bend, WI","Washington County Fair Park & Conference Center, 3000 Pleasant Valley Rd, West Bend, WI 53095, USA",43.3562604,-88.1866191,MILWAUKEE (WI),55131
2016-08-18,Charlotte,NA,NC,Charlotte Convention Center,trump,"Charlotte Convention Center, Charlotte, NC","501 S College St, Charlotte, NC 28202, USA",35.2230791,-80.84609739999999,CHARLOTTE (NC),37119
2016-08-19,Dimondale,NA,MI,The Summit Sports and Ice Complex,trump,"The Summit Sports and Ice Complex, Dimondale, MI","9410 Davis Hwy, Dimondale, MI 48821, USA",42.6821624,-84.6548375,LANSING (MI),26045
2016-08-20,Fredericksburg,NA,VA,Fredericksburg Expo & Conference Center,trump,"Fredericksburg Expo & Conference Center, Fredericksburg, VA","2371 Carl D. Silver Pkwy, Fredericksburg, VA 22401, USA",38.3158193,-77.5078358,"WASHINGTON, DC(HAGRSTWN)",51630
2016-08-22,Akron,NA,OH,"James A. Rhodes Arena, University of Akron",trump,"James A. Rhodes Arena, University of Akron, Akron, OH","373 Carroll St, Akron, OH 44325, USA",41.075549,-81.50880529999999,CLEVELAND (OH) - AKRON (OH) - CANTON (OH),39153
2016-08-23,Austin,NA,TX,Luedecke Arena,trump,"Luedecke Arena, Austin, TX","Luedecke Arena, Austin, TX 78724, USA",30.2943169,-97.62108029999999,AUSTIN (TX),48453
2016-08-24,Tampa,NA,FL,"Entertainment Hall, Florida State Fairgrounds",trump,"Entertainment Hall, Florida State Fairgrounds, Tampa, FL","4800 US-301, Tampa, FL 33610, USA",27.989841,-82.365494,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),12057
2016-08-24,Jackson,NA,MS,Mississippi Coliseum,trump,"Mississippi Coliseum, Jackson, MS","1207 Mississippi St, Jackson, MS 39202, USA",32.3001314,-90.1719577,JACKSON (MS),28049
2016-08-25,Manchester,NA,NH,Radisson Hotel Manchester Downtown,trump,"Radisson Hotel Manchester Downtown, Manchester, NH","700 Elm St, Manchester, NH 03101, USA",42.988283,-71.4642471,BOSTON (MA) - MANCHESTER (NH),33011
2016-08-30,Everett,NA,WA,Xfinity Arena,trump,"Xfinity Arena, Everett, WA","2000 Hewitt Ave, Everett, WA 98201, USA",47.9785938,-122.2029948,SEATTLE (WA) - TACOMA (WA),53061
2016-08-31,Phoenix,NA,AZ,Phoenix Convention Center,trump,"Phoenix Convention Center, Phoenix, AZ","100 N 3rd St, Phoenix, AZ 85004, USA",33.449759,-112.070973,PHOENIX (AZ),04013
2016-09-01,Wilmington,NA,OH,Roberts Centre,trump,"Roberts Centre, Wilmington, OH","123 Gano Rd, Wilmington, OH 45177, USA",39.5232419,-83.8439561,CINCINNATI (OH),39027
2016-09-06,Greenville,NA,NC,Greenville Convention Center,trump,"Greenville Convention Center, Greenville, NC","303 Greenville Blvd SW, Greenville, NC 27834, USA",35.5730964,-77.39070679999999,GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC),37147
2016-09-09,Pensacola,NA,FL,Pensacola Bay Center,trump,"Pensacola Bay Center, Pensacola, FL","201 E Gregory St, Pensacola, FL 32502, USA",30.4164053,-87.2089072,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL),12033
2016-09-12,Asheville,NA,NC,U.S. Cellular Center,trump,"U.S. Cellular Center, Asheville, NC","87 Haywood St, Asheville, NC 28801, USA",35.5971794,-82.555619,GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC),37021
2016-09-13,Clive,NA,IA,7 Flags Event Center,trump,"7 Flags Event Center, Clive, IA","2100 NW 100th St, Clive, IA 50325, USA",41.61243030000001,-93.75779659999999,DES MOINES (IA) - AMES (IA),19153
2016-09-14,Canton,NA,OH,Canton Memorial Civic Center,trump,"Canton Memorial Civic Center, Canton, OH","1101 Market Ave N, Canton, OH 44702, USA",40.8079214,-81.3729855,CLEVELAND (OH) - AKRON (OH) - CANTON (OH),39151
2016-09-15,Laconia,NA,NH,Laconia Middle School,trump,"Laconia Middle School, Laconia, NH","150 McGrath St, Laconia, NH 03246, USA",43.53700629999999,-71.4726707,BOSTON (MA) - MANCHESTER (NH),33001
2016-09-16,Miami,NA,FL,Knight Center Complex,trump,"Knight Center Complex, Miami, FL","400 SE 2nd Ave, Miami, FL 33131, USA",25.7711515,-80.19092549999999,MIAMI (FL) - FT. LAUDERDALE (FL),12086
2016-09-17,Colorado Springs,NA,CO,"Colorado Jet Center, Colorado Springs Airport",trump,"Colorado Jet Center, Colorado Springs Airport, Colorado Springs, CO","1575 Aviation Way, Colorado Springs, CO 80916, USA",38.8086891,-104.721029,COLORADO SPRINGS (CO) - PUEBLO (CO),08041
2016-09-19,Estero,NA,FL,Germain Arena,trump,"Germain Arena, Estero, FL","11000 Everblades Parkway, Estero, FL 33928, USA",26.4404742,-81.77884689999999,FT. MYERS (FL) - NAPLES (FL),12071
2016-09-20,High Point,NA,NC,"Millis Athletic Convocation Center, High Point University",trump,"Millis Athletic Convocation Center, High Point University, High Point, NC","922 Panther Dr, High Point, NC 27262, USA",35.9711065,-79.9960005,GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC),37081
2016-09-20,Kenansville,NA,NC,Duplin County Events Center,trump,"Duplin County Events Center, Kenansville, NC","195 Fairgrounds Dr, Kenansville, NC 28349, USA",34.9507828,-77.98428369999999,GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC),37061
2016-09-21,Toledo,NA,OH,Stranahan Theater,trump,"Stranahan Theater, Toledo, OH","4645 Heatherdowns Blvd, Toledo, OH 43614, USA",41.592692,-83.65179599999999,TOLEDO (OH),39095
2016-09-22,Chester Township,NA,PA,Sun Center Studios,trump,"Sun Center Studios, Chester Township, PA","250 N Commerce Dr, Aston, PA 19014, USA",39.852386,-75.4075833,PHILADELPHIA (PA),42045
2016-09-24,Roanoke,NA,VA,Berglund Center,trump,"Berglund Center, Roanoke, VA","710 Williamson Rd NE, Roanoke, VA 24016, USA",37.2796134,-79.9360265,ROANOKE-LYNCHBURG,51770
2016-09-27,Melbourne,NA,FL,Orlando Melbourne International Airport,trump,"Orlando Melbourne International Airport, Melbourne, FL","Orlando Melbourne International Airport (MLB), 1 Air Terminal Pkwy, Melbourne, FL 32901, USA",28.1012659,-80.645078,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),12009
2016-09-28,Council Bluffs,NA,IA,Mid-America Center,trump,"Mid-America Center, Council Bluffs, IA","Mid-America Center, Council Bluffs, IA 51501, USA",41.2365,-95.89277419999999,OMAHA (NE),19155
2016-09-28,Waukesha,NA,WI,Waukesha County Expo Center,trump,"Waukesha County Expo Center, Waukesha, WI","1000 Northview Rd, Waukesha, WI 53188, USA",43.0346553,-88.241351,MILWAUKEE (WI),55133
2016-09-29,Bedford,NA,NH,NH Sportsplex,trump,"NH Sportsplex, Bedford, NH","68 Technology Dr, Bedford, NH 03110, USA",42.9214549,-71.4575672,BOSTON (MA) - MANCHESTER (NH),33011
2016-09-30,Novi,NA,MI,Suburban Collection Showplace,trump,"Suburban Collection Showplace, Novi, MI","46100 Grand River Ave, Novi, MI 48374, USA",42.489142,-83.5026884,DETROIT (MI),26125
2016-10-01,Manheim,NA,PA,Spooky Nook Sports,trump,"Spooky Nook Sports, Manheim, PA","75 Champ Blvd, Manheim, PA 17545, USA",40.1060668,-76.4190675,HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA),42071
2016-10-03,Pueblo,NA,CO,Pueblo Convention Center,trump,"Pueblo Convention Center, Pueblo, CO","320 Central Main St, Pueblo, CO 81003, USA",38.2667019,-104.6079376,COLORADO SPRINGS (CO) - PUEBLO (CO),08101
2016-10-03,Loveland,NA,CO,Budweiser Events Center,trump,"Budweiser Events Center, Loveland, CO","5290 Arena Cir, Loveland, CO 80538, USA",40.4439538,-104.9898335,DENVER (CO),08069
